,rank,title,points,counries,days,isoriginal,show_id,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description
41,65,Ragnarok,"7,540",79,42,YES,s838,TV Show,,"David Stakston, Jonas Strand Gravli, Herman Tømmeraas, Theresa Frostad Eggesbø, Emma Bones, Henriette Steenstrup, Gísli Örn Garðarsson, Synnøve Macody Lund, Ylva Thedin Bjørkaas, Odd-Magnus Williamson","Norway, Denmark","May 27, 2021",2021,Adults,2 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","In a Norwegian town poisoned by pollution and rattled by melting glaciers, the End Times feel all too real. It’ll take a legend to battle an old evil."
42,68,Hospital Playlist,"7,105",16,227,YES,s687,TV Show,,"Cho Jung-seok, Yoo Yeon-seok, Jung Kyung-ho, Kim Dae-myeong, Jeon Mi-do, Kim Hae-suk, Kim Kap-soo, Jung Moon-sung",South Korea,"June 18, 2021",2021,Teens,2 Seasons,"International TV Shows, Korean TV Shows, TV Comedies","Every day is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist."
43,69,The Cook of Castamar,"7,006",66,133,YES,s488,TV Show,,"Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias, María Hervás, Agnès Llobet, Paula Usero, Jean Cruz, Óscar Rabadán, Fiorella Faltoyano, Nancho Novo, Silvia Abascal, Mónica López",,"July 9, 2021",2021,Adults,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1720 Madrid, a talented cook catches the eye of a widowed duke just as he returns to aristocratic society. Based on the novel by Fernando J. Múñez."
44,70,The Cook of Castamar,"7,006",66,133,YES,s488,TV Show,,"Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias, María Hervás, Agnès Llobet, Paula Usero, Jean Cruz, Óscar Rabadán, Fiorella Faltoyano, Nancho Novo, Silvia Abascal, Mónica López",,"July 9, 2021",2021,Adults,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1720 Madrid, a talented cook catches the eye of a widowed duke just as he returns to aristocratic society. Based on the novel by Fernando J. Múñez."
45,71,Demon Slayer: Kimetsu no Yaiba,"6,866",63,259,No,s1386,TV Show,,"Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Takahiro Sakurai, Hochu Otsuka, Yuki Kaji, Ai Kakuma, Nobuhiko Okamoto, Toshiyuki Morikawa, Aoi Yuki, Shiori Izawa, Daisuke Namikawa, Takumi Yamazaki, Hikaru Midorikawa, Takehito Koyasu",Japan,"January 22, 2021",2019,Teens,1 Season,"Anime Series, International TV Shows","After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost."
46,72,The One,"6,824",71,36,YES,s1218,TV Show,,"Hannah Ware, Zoë Tapper, Dimitri Leonidas, Amir El-Masry, Lois Chimimba, Eric Kofi-Abrefa, Pallavi Sharda, Jana Pérez, Diarmaid Murtagh, Gregg Chillin, Wilf Scolding, Stephen Campbell Moore, Simone Kirby, Albano Jerónimo, Eduardo Lloveras, Miguel Amorim",United Kingdom,"March 12, 2021",2021,Adults,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","Love — and lies — spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service."
47,73,Emily in Paris,"6,735",90,25,YES,s1895,TV Show,,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo, Kate Walsh, Samuel Arnold, Bruno Gouery, Camille Razat",United States,"October 2, 2020",2020,Adults,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas","After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance."
48,74,Sky Rojo,"6,472",61,78,YES,s402,TV Show,,"Verónica Sánchez, Miguel Ángel Silvestre, Asier Etxeandia, Lali Espósito, Yany Prado, Enric Auquer, Luis Zahera, Carmen Santamaría, Cecilia Gómez, Godeliv Van den Brandt, Penélope Guerrero, Luisa Vides, Niko Verona, Chema Ruiz",Spain,"July 23, 2021",2021,Adults,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",A fatal turn of events at a brothel sends three women haunted by their pasts on a wild run from their pimp and his henchmen.
49,75,Alice in Borderland,"6,458",70,62,YES,s1563,TV Show,,"Kento Yamazaki, Tao Tsuchiya, Nijiro Murakami, Yuki Morinaga, Keita Machida, Ayaka Miyoshi, Dori Sakurada, Aya Asahina, Shuntaro Yanagi, Yutaro Watanabe, Ayame Misaki, Mizuki Yoshida, Tsuyoshi Abe, Nobuaki Kaneko, Sho Aoyagi, Riisa Naka",Japan,"December 10, 2020",2020,Adults,1 Season,"International TV Shows, TV Action & Adventure, TV Mysteries","An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive."
50,76,Crime Scene: The Vanishing at the Cecil Hotel,"6,240",79,21,YES,s1329,TV Show,Joe Berlinger,,United States,"February 10, 2021",2021,Adults,1 Season,"Crime TV Shows, Docuseries","The notorious Cecil Hotel grows in infamy when guest Elisa Lam vanishes. From the creator of ""The Ted Bundy Tapes,"" a dive into crime's darkest places."
